date,current_ratio,quick_ratio,profit_margin,roi,inventory_turnover,asset_turnover,receivable_days,payable_days,inventory_days,debt_to_equity
2019-01-01,3.16,0.33,6.22,5.19,8,1.41,58,73,40,1.05
2019-01-01,2.42,1.28,28.62,9.34,4,1.76,34,70,34,1.82
2019-01-01,0.99,1.15,18.54,12.4,7,1.79,34,71,57,0.76
2019-01-02,1.29,0.79,33.88,13.65,10,2.39,45,31,64,1.92
2019-01-02,1.79,2.06,9.69,20.5,13,2.03,37,53,28,0.6
2019-01-02,3.17,1.09,11.4,15.27,13,1.37,38,60,76,0.86
2019-01-02,3.2,1.62,3.31,32.47,13,1.29,58,61,67,0.99
2019-01-02,3.23,0.63,30.07,7.21,14,2.14,52,48,23,0.25
2019-01-02,3.33,0.55,13.32,25.87,3,0.96,50,53,31,1.15
2019-01-02,2.64,0.46,26.84,10.8,7,2.08,53,35,24,1.75
2019-01-02,3.39,2.22,37.28,14.04,9,1.46,35,77,50,0.24
2019-01-02,0.97,0.68,39.69,13.08,7,1.56,33,71,48,1.37
2019-01-02,2.81,1.94,31.45,24.25,12,0.98,38,62,69,0.77
2019-01-02,3.48,1.26,30.34,26.96,11,0.6,31,68,56,1.62
2019-01-02,3.44,0.79,8.25,11.43,12,1.2,43,71,29,2.09
2019-01-02,3.48,0.62,21.33,34.95,14,2.28,52,77,25,0.13
2019-01-02,2.62,0.78,34.94,13.63,7,1.71,19,56,68,1.83
2019-01-02,2.07,0.98,20.03,28.19,6,1.69,47,84,55,0.92
2019-01-02,2.94,2.28,37.15,18.19,3,1.4,31,55,38,1.65
2019-01-02,1.32,1.96,34.87,26.69,7,1.38,39,39,34,2.03
2019-01-02,1.05,1.39,33.42,32.79,5,1.39,43,81,52,0.3
2019-01-02,2.49,1.83,24.25,16.25,14,2.42,23,43,41,1.54
2019-01-02,1.61,0.7,30.27,20.72,3,2.34,20,66,66,2.07
2019-01-02,0.63,2.26,21.96,21.24,7,1.66,37,82,28,0.24
2019-01-02,2.74,1.58,6.9,22.69,4,0.52,21,32,74,1.82
2019-01-02,1.28,1.55,12.01,11.35,8,1.48,45,54,74,0.2
2019-01-02,0.93,1.44,33.69,19.82,3,1.86,38,71,66,1.3
2019-01-02,1.15,1.7,16.83,12.23,9,1.68,59,73,41,1.81
2019-01-02,2.0,1.36,3.36,15.1,14,1.72,20,55,67,1.57
2019-01-02,2.84,1.42,32.09,16.0,10,0.63,15,33,65,0.95
2019-01-02,2.33,1.86,20.32,24.58,10,1.74,40,54,39,0.98
2019-01-03,1.11,1.65,38.58,16.56,12,1.6,41,64,26,0.62
2019-01-03,2.92,0.66,8.67,33.54,10,0.72,38,80,59,1.09
2019-01-03,1.56,2.24,13.34,22.71,4,1.46,54,81,75,0.71
2019-01-03,2.24,0.64,6.64,21.11,4,2.1,22,62,78,1.53
2019-01-03,3.05,1.65,15.0,24.01,11,1.09,40,77,73,0.68
2019-01-03,2.84,0.9,11.64,5.88,13,1.83,49,40,48,1.34
2019-01-03,0.95,1.32,33.77,29.86,5,0.55,16,85,52,0.93
2019-01-03,0.85,1.16,23.67,14.93,7,0.63,16,47,48,1.02
2019-01-03,1.85,0.81,18.56,17.86,13,2.16,51,74,41,0.33
2019-01-03,1.43,0.4,33.24,22.16,4,1.56,45,75,63,0.71
2019-01-03,1.86,1.52,19.96,5.75,4,2.24,47,42,56,0.9
2019-01-03,1.51,0.65,13.69,21.52,6,2.49,31,48,37,1.14
2019-01-03,2.64,1.47,17.05,20.29,10,1.03,46,48,26,2.0
2019-01-03,1.46,0.92,20.59,9.96,2,1.94,57,48,71,0.74
2019-01-03,2.35,1.72,30.62,12.52,11,0.78,49,41,47,0.52
2019-01-03,2.29,2.11,9.39,14.7,14,1.41,41,78,78,1.48
2019-01-03,1.83,1.66,11.24,6.18,6,1.08,47,40,58,1.82
2019-01-03,2.9,1.29,11.21,31.36,14,1.55,35,57,21,0.87
2019-01-03,3.36,0.58,26.17,8.54,13,1.22,20,86,40,1.54
2019-01-03,0.9,1.09,30.13,33.29,9,1.37,16,41,61,0.98
2019-01-03,2.86,0.59,3.6,31.39,7,1.88,25,33,27,0.94
2019-01-03,1.88,1.0,39.52,25.98,10,1.57,26,73,47,1.07
2019-01-03,2.4,1.31,8.38,20.24,9,1.14,57,86,76,1.2
2019-01-03,1.96,2.07,16.14,19.6,13,0.98,19,35,27,0.2
2019-01-03,0.72,2.14,21.18,19.85,8,2.45,26,42,45,1.09
2019-01-03,2.28,1.5,11.95,16.78,4,0.81,59,82,78,0.11
2019-01-03,3.31,1.33,16.39,15.49,13,1.98,26,77,71,2.04
2019-01-03,0.86,1.83,28.01,5.95,9,1.87,15,80,36,1.1
2019-01-04,2.73,1.05,4.85,30.31,6,1.08,24,67,23,0.48
2019-01-04,0.78,1.4,24.47,5.33,12,1.72,15,59,45,1.01
2019-01-04,0.58,0.6,39.81,28.93,3,2.21,57,84,70,0.61
2019-01-04,2.28,0.94,28.69,11.6,12,2.18,21,44,20,0.57
2019-01-04,0.96,0.67,37.86,26.03,10,2.12,17,41,56,1.26
2019-01-04,1.74,0.98,38.86,24.96,11,1.04,57,69,71,0.66
2019-01-04,1.82,1.6,15.38,20.62,5,2.09,35,73,79,0.58
2019-01-04,2.65,2.2,8.19,23.38,7,0.62,57,55,27,0.33
2019-01-04,0.54,1.31,5.7,5.42,8,1.12,31,67,25,0.91
2019-01-04,1.91,0.75,27.79,31.28,7,0.63,34,57,33,0.53
2019-01-04,1.17,1.46,19.67,7.27,14,2.32,50,55,31,1.37
2019-01-04,2.04,1.56,20.47,30.32,11,1.73,41,33,39,1.67
2019-01-04,2.94,0.6,33.9,26.17,12,0.93,57,37,37,1.52
2019-01-04,1.1,0.98,12.12,26.3,13,1.92,20,36,40,1.85
2019-01-04,2.12,2.13,6.18,11.12,11,2.04,47,62,34,1.48
2019-01-04,3.12,0.73,18.94,8.13,6,1.5,33,30,40,0.56
2019-01-04,2.37,0.8,7.15,18.0,12,0.52,33,35,33,0.21
2019-01-04,3.3,1.13,39.46,10.9,5,2.43,39,87,62,0.17
2019-01-04,1.0,0.52,14.19,28.59,6,0.93,53,82,56,1.07
2019-01-04,1.31,0.47,29.05,25.09,10,1.92,39,34,49,1.56
2019-01-04,1.47,1.62,15.1,30.9,3,2.09,16,63,25,1.98
2019-01-04,0.54,2.21,11.74,12.66,14,1.19,37,67,33,2.04
2019-01-04,0.6,1.42,32.29,8.18,5,1.77,43,45,36,1.36
2019-01-04,3.35,1.72,6.03,29.73,11,1.69,15,58,22,0.62
2019-01-04,1.31,2.25,9.64,30.65,11,2.09,21,56,40,1.29
2019-01-04,1.91,1.96,29.98,19.82,11,2.08,54,46,39,1.42
2019-01-04,1.53,1.18,8.47,14.07,13,1.82,28,38,33,1.2
2019-01-04,2.27,1.26,2.36,17.58,2,2.11,56,65,43,0.22
2019-01-04,0.58,2.08,38.02,22.08,9,1.03,23,49,30,1.9
2019-01-04,3.33,2.21,0.79,31.3,8,0.72,41,64,77,0.62
2019-01-04,1.07,1.49,35.38,6.13,8,2.06,25,55,56,1.58
2019-01-04,2.83,1.95,30.97,16.18,12,2.07,40,52,76,1.43
2019-01-05,3.29,0.56,6.51,14.13,14,0.63,51,42,65,2.0
2019-01-05,3.39,1.95,35.08,31.38,11,1.33,34,68,75,0.67
2019-01-05,2.03,1.79,9.97,17.49,2,2.24,35,48,51,0.3
2019-01-05,3.14,1.79,4.53,19.81,9,1.42,40,66,76,2.08
2019-01-05,1.65,1.45,38.9,20.54,8,0.59,29,37,51,0.63
2019-01-05,1.72,0.94,12.39,14.58,8,1.25,43,85,48,0.75
2019-01-05,1.4,0.7,9.15,12.65,13,2.37,38,51,77,0.97
2019-01-05,2.89,0.68,27.78,13.46,10,2.49,53,51,36,0.63
2019-01-05,0.6,1.79,16.64,13.01,7,1.87,33,87,74,1.92
2019-01-05,0.86,1.89,21.57,19.06,9,2.1,37,89,74,1.98
2019-01-05,2.67,1.98,4.61,34.31,11,0.61,54,59,69,0.3
2019-01-05,2.57,1.93,10.78,19.14,10,1.65,37,82,32,0.55
2019-01-05,2.73,1.05,1.58,18.9,12,2.11,55,86,59,0.61
2019-01-05,0.6,0.75,10.62,18.88,10,1.72,45,32,49,0.32
2019-01-05,0.87,0.78,23.98,23.69,13,2.47,26,71,65,1.36
2019-01-05,1.79,1.94,16.07,23.81,5,1.93,51,75,37,0.27
2019-01-05,0.7,1.96,17.62,29.46,7,2.19,52,56,42,1.85
2019-01-05,3.09,0.51,5.85,25.69,8,0.78,52,31,66,2.01
2019-01-05,2.33,2.22,38.5,10.36,10,0.55,57,77,78,1.61
2019-01-05,2.7,1.81,5.8,10.27,9,0.63,32,64,22,1.61
2019-01-05,1.99,2.14,36.19,26.23,6,1.8,42,37,64,1.97
2019-01-05,3.43,1.64,1.55,32.65,6,1.74,54,43,56,0.93
2019-01-05,3.15,0.96,12.94,28.61,6,1.7,46,84,45,1.95
2019-01-05,3.15,1.99,9.39,19.12,12,1.73,35,74,56,0.61
2019-01-05,2.86,1.95,26.49,22.04,2,0.55,57,66,70,2.02
2019-01-05,2.17,0.37,33.46,9.28,14,1.55,58,88,35,0.62
2019-01-05,2.79,1.55,21.65,7.5,11,0.91,53,30,54,1.27
2019-01-05,2.45,1.74,38.37,13.28,9,0.86,35,50,55,1.72
2019-01-05,3.39,0.67,25.37,31.05,5,1.68,45,59,57,1.71
2019-01-05,2.49,1.8,18.79,19.17,10,1.6,24,36,60,1.11
2019-01-05,3.27,2.19,11.14,25.58,14,2.31,24,36,42,1.52
2019-01-05,1.03,0.4,33.32,25.25,4,2.18,37,35,65,0.65
2019-01-05,1.92,0.93,20.45,20.52,5,1.0,31,73,35,1.97
2019-01-05,1.96,1.6,14.81,20.2,11,0.89,30,74,64,1.25
2019-01-05,2.38,1.5,12.52,25.59,6,1.34,41,80,40,1.39
2019-01-05,1.25,1.49,10.26,20.24,8,2.16,45,38,72,1.78
2019-01-05,3.18,0.41,22.16,8.74,7,0.96,55,57,30,0.92
2019-01-06,2.98,1.69,28.14,6.05,14,1.03,32,57,56,0.55
2019-01-06,1.15,0.83,38.71,7.91,6,1.69,43,88,35,1.76
2019-01-06,2.23,0.8,36.11,9.75,11,2.12,22,38,56,1.15
2019-01-06,1.69,2.23,16.6,33.44,6,2.3,53,61,64,0.34
2019-01-06,0.67,1.51,8.99,12.66,12,2.45,45,74,66,1.27
2019-01-06,2.03,1.78,23.76,15.29,13,2.1,33,63,67,0.45
2019-01-06,1.24,1.11,11.54,8.59,10,0.88,17,68,34,0.97
2019-01-06,3.47,1.71,39.91,6.95,12,1.34,32,61,31,2.07
2019-01-06,0.88,1.87,34.26,22.21,6,1.93,21,65,22,1.25
2019-01-06,1.91,0.32,8.37,13.82,3,0.96,52,51,49,1.0
2019-01-06,3.06,2.29,15.78,10.33,3,1.98,41,72,61,0.71
2019-01-06,3.14,1.81,29.58,28.89,5,0.84,56,73,65,1.05
2019-01-06,3.26,0.69,25.86,32.58,3,1.29,15,44,72,0.36
2019-01-06,0.9,0.72,3.11,26.57,13,1.77,51,67,64,0.34
2019-01-06,2.45,1.35,29.88,13.74,4,1.1,56,48,57,1.46
2019-01-06,0.92,1.54,33.61,33.19,14,0.99,53,40,63,0.89
2019-01-06,0.95,0.48,34.4,26.36,8,1.64,17,89,59,0.21
2019-01-06,3.15,1.76,4.1,34.49,12,1.22,39,48,21,0.89
2019-01-06,0.72,2.22,4.95,33.58,7,0.63,53,84,77,1.18
2019-01-06,2.59,1.11,10.3,29.81,12,2.2,26,35,79,0.57
2019-01-06,2.4,1.05,32.0,34.33,6,1.75,52,43,76,1.31
2019-01-06,0.89,2.1,8.77,29.6,13,1.32,26,89,32,1.04
2019-01-06,2.67,1.92,23.27,27.02,10,2.33,44,54,39,0.79
2019-01-06,2.88,0.9,2.79,32.75,6,1.61,32,81,42,1.21
2019-01-06,3.01,0.76,21.76,27.63,4,2.23,39,74,27,1.52
2019-01-06,2.28,1.6,10.13,22.23,13,0.93,31,56,69,1.97
2019-01-06,1.07,2.18,4.28,29.51,14,2.0,17,30,49,1.87
2019-01-06,2.43,0.78,23.73,8.54,6,1.45,33,52,66,1.03
2019-01-06,3.15,0.61,4.32,19.76,12,2.09,41,89,44,0.79
2019-01-06,2.47,1.93,32.7,19.71,12,1.02,53,43,64,0.92
2019-01-06,2.44,1.84,24.7,19.53,4,1.11,51,85,61,1.53
2019-01-06,2.13,2.17,5.55,18.76,7,1.41,41,37,55,1.9
2019-01-07,3.19,1.74,10.11,31.93,8,1.2,43,65,69,0.28
2019-01-07,2.53,1.97,27.94,9.75,13,2.06,24,43,45,1.97
2019-01-07,2.89,1.17,11.3,10.57,9,2.07,33,37,50,0.9
2019-01-07,1.64,1.86,2.78,18.08,10,1.05,57,78,50,0.4
2019-01-07,2.65,2.02,18.88,29.85,12,2.31,51,43,74,0.28
2019-01-07,1.56,2.0,2.59,30.26,2,1.65,39,68,76,0.73
2019-01-07,1.57,2.06,21.34,33.66,3,0.84,58,80,39,1.2
2019-01-07,1.72,1.11,30.12,27.52,7,1.52,26,89,36,0.48
2019-01-07,3.27,2.16,14.57,15.84,6,2.41,16,53,35,0.64
2019-01-07,1.61,0.9,33.71,17.64,12,0.98,36,44,32,0.57
2019-01-07,1.01,1.79,3.18,20.96,7,2.13,29,84,30,1.52
2019-01-07,1.35,1.65,11.36,10.91,5,2.13,26,47,65,1.42
2019-01-07,3.2,1.54,38.84,23.59,5,0.72,43,55,29,0.38
2019-01-07,1.32,1.99,15.86,19.46,13,0.73,28,42,56,1.01
2019-01-07,1.88,0.81,21.66,28.55,3,2.21,30,88,31,0.58
2019-01-07,1.1,2.15,1.5,7.42,2,0.88,19,37,66,1.95
2019-01-07,1.64,0.43,29.39,9.64,13,2.05,56,40,79,0.5
2019-01-07,2.78,1.12,25.97,5.04,6,2.27,39,50,20,1.07
2019-01-07,0.66,1.35,33.46,19.85,14,2.13,23,61,78,0.66
2019-01-07,0.55,0.5,29.91,15.41,13,2.14,48,88,50,1.4
2019-01-07,2.86,0.58,11.34,7.79,9,1.78,50,39,53,0.79
2019-01-07,2.34,2.08,36.85,8.21,13,1.13,39,87,71,0.87
2019-01-07,3.1,0.89,11.73,19.18,11,0.81,23,83,67,2.06
2019-01-07,3.5,0.54,16.69,16.09,12,1.49,27,42,76,1.14
2019-01-07,1.51,1.2,24.12,25.4,6,2.35,57,88,37,1.78
2019-01-07,2.13,1.33,38.32,23.24,9,0.69,59,38,66,1.48
2019-01-07,0.51,1.71,31.08,23.2,9,1.18,16,84,41,1.52
2019-01-07,3.39,1.85,37.35,27.23,4,1.55,23,40,20,2.06
2019-01-07,2.45,2.25,19.85,10.25,12,0.65,52,41,41,1.77
2019-01-07,1.36,1.99,20.76,32.05,4,1.36,27,53,25,1.56
2019-01-08,2.74,0.72,18.58,9.27,14,0.58,17,69,49,0.69
2019-01-08,2.89,1.49,19.27,8.71,7,1.91,23,32,44,0.26
2019-01-08,2.88,0.71,4.79,19.25,5,1.11,16,75,26,0.2
2019-01-08,1.88,0.95,31.95,31.07,3,2.32,31,79,35,0.75
2019-01-08,3.23,1.0,29.23,5.65,7,1.94,50,61,52,1.54
2019-01-08,1.19,2.2,20.79,25.92,8,1.19,44,82,57,1.73
2019-01-08,1.91,1.18,1.59,32.5,13,0.88,39,73,41,0.66
2019-01-08,0.81,1.75,13.65,24.24,3,0.6,26,48,64,0.34
2019-01-08,2.93,1.43,30.55,32.34,11,1.83,33,75,48,1.73
2019-01-08,0.55,0.71,17.0,26.81,12,1.44,31,41,25,1.81
2019-01-08,1.91,1.31,10.96,26.05,7,1.72,20,46,55,0.21
2019-01-08,1.07,1.56,14.69,6.35,14,1.86,47,63,29,1.99
2019-01-08,3.08,1.86,21.65,5.03,3,0.61,38,82,22,0.89
2019-01-08,1.1,1.84,15.24,29.53,3,0.97,19,51,54,0.64
2019-01-08,2.27,1.85,5.59,5.23,8,1.3,19,72,67,0.96
2019-01-08,0.98,1.01,25.73,24.83,12,2.22,42,88,35,1.21
2019-01-08,2.86,0.91,11.93,6.29,8,2.43,52,67,35,0.8
2019-01-08,1.45,0.58,17.7,17.84,13,1.39,45,30,59,0.66
2019-01-08,2.2,1.41,10.59,6.0,3,1.63,44,89,76,0.14
2019-01-08,3.42,1.39,23.31,7.8,12,1.91,23,49,21,1.08
2019-01-08,2.24,1.45,2.0,31.37,10,2.18,57,89,31,0.96
2019-01-09,1.81,1.81,3.7,9.72,11,1.92,15,48,37,1.37
2019-01-09,2.14,1.16,28.79,16.72,2,1.94,56,55,32,0.19
2019-01-09,1.97,1.23,12.23,23.62,5,0.92,24,32,66,1.61
2019-01-09,3.48,0.75,12.14,15.65,4,1.64,44,55,66,2.08
2019-01-09,1.44,0.54,21.82,15.54,3,1.17,21,35,41,0.57
2019-01-09,0.7,0.96,26.67,15.24,8,0.65,49,43,60,1.11
2019-01-09,2.47,1.13,39.75,21.35,12,1.45,18,39,27,1.58
2019-01-09,2.73,2.17,32.48,13.5,6,1.28,50,78,74,1.23
2019-01-09,1.62,0.43,1.72,28.71,12,0.84,45,55,36,0.29
2019-01-09,1.5,2.11,4.49,19.85,10,1.12,18,68,34,2.08
2019-01-09,0.51,1.03,37.27,25.84,14,1.8,33,33,75,0.58
2019-01-09,0.67,2.19,13.7,30.12,4,1.89,20,84,72,0.59
2019-01-09,2.73,2.05,10.1,16.15,2,1.84,41,63,40,0.2
2019-01-09,3.49,1.14,3.78,27.47,6,0.59,58,64,50,0.97
2019-01-09,0.97,1.67,27.74,30.36,5,0.68,59,50,56,1.64
2019-01-09,0.57,1.57,3.84,21.48,11,1.24,53,66,74,1.24
2019-01-09,2.96,2.27,7.82,27.17,4,2.06,21,48,65,0.45
2019-01-09,1.07,0.52,11.77,20.28,12,1.9,54,64,35,1.94
2019-01-09,1.99,0.51,36.84,11.49,11,1.44,39,51,72,1.15
2019-01-09,1.18,0.61,15.77,18.71,2,1.79,56,78,68,2.01
2019-01-09,1.67,1.27,34.09,32.37,7,0.61,40,35,74,1.22
2019-01-09,2.44,1.66,33.44,32.14,6,1.23,32,60,69,0.84
2019-01-09,1.04,0.84,15.88,27.01,2,1.01,44,30,36,1.7
2019-01-09,3.04,0.37,28.18,31.4,5,1.79,46,85,21,1.54
2019-01-09,2.18,2.23,4.19,29.82,6,0.72,50,47,50,0.96
2019-01-09,2.33,1.79,7.42,32.17,10,0.76,20,82,63,2.1
2019-01-09,3.19,1.21,30.82,21.12,5,1.85,29,71,41,1.58
2019-01-09,3.47,2.19,7.62,15.02,3,1.12,43,60,24,1.61
2019-01-09,1.86,1.95,10.51,7.58,8,1.7,55,72,55,1.87
2019-01-09,1.72,0.61,2.36,25.12,5,1.8,51,44,76,0.71
2019-01-09,2.62,0.93,33.0,23.85,11,1.17,51,40,73,0.79
2019-01-09,2.57,2.2,6.61,22.97,7,0.55,39,40,33,1.13
2019-01-10,0.99,2.29,22.44,12.31,8,2.48,22,30,43,0.26
2019-01-10,1.13,0.56,11.22,34.57,8,0.6,50,82,61,1.93
2019-01-10,1.39,1.08,3.94,31.82,4,1.64,42,31,45,1.29
2019-01-10,2.64,2.11,15.84,8.34,3,2.03,58,89,53,1.89
2019-01-10,2.27,1.87,15.24,18.83,2,1.03,20,35,76,1.43
2019-01-10,1.12,1.13,31.32,27.82,10,2.05,53,80,38,0.24
2019-01-10,3.45,0.5,20.48,6.28,10,1.62,26,53,67,0.65
2019-01-10,1.69,0.67,28.68,14.35,5,1.43,40,71,30,1.18
2019-01-10,2.69,1.59,22.48,27.34,13,1.3,37,83,37,1.94
2019-01-10,1.83,1.59,28.02,10.48,9,0.93,54,50,32,0.55
2019-01-10,3.27,0.95,23.6,7.59,13,0.81,36,46,73,0.46
2019-01-10,1.58,1.21,17.06,29.9,7,0.77,20,78,70,1.64
2019-01-10,3.21,1.41,22.47,27.92,9,1.81,27,66,76,1.88
2019-01-10,2.85,1.34,9.05,24.74,6,1.7,38,73,54,0.93
2019-01-10,3.09,1.95,1.41,12.43,5,2.02,18,83,42,1.8
2019-01-10,2.26,0.75,2.73,7.95,10,1.36,34,30,29,0.64
2019-01-10,2.17,0.31,38.93,24.36,5,1.15,38,39,67,0.78
2019-01-10,1.75,1.04,25.49,16.04,5,0.52,24,65,41,0.95
2019-01-10,0.6,1.34,4.65,13.42,5,0.63,28,57,71,1.72
2019-01-10,1.36,0.72,20.12,15.99,8,1.06,16,61,51,1.38
2019-01-10,1.35,1.16,11.25,24.99,14,2.04,36,50,45,1.68
2019-01-10,0.89,0.53,9.8,27.18,6,0.51,43,83,46,1.52
2019-01-10,3.38,1.37,15.38,28.47,5,1.09,26,66,65,0.39
2019-01-10,1.79,0.63,19.96,13.83,3,1.42,26,76,20,0.69
2019-01-11,2.03,1.33,33.81,14.97,7,1.91,48,32,57,1.61
2019-01-11,2.23,1.24,31.66,32.1,14,2.22,23,49,51,1.1
2019-01-11,0.94,0.71,5.97,31.51,7,1.19,46,78,33,1.46
2019-01-11,0.83,1.07,39.61,34.97,3,1.41,27,37,77,0.43
2019-01-11,1.42,0.47,7.92,15.9,6,1.58,40,52,28,0.91
2019-01-11,2.65,0.93,23.97,24.51,4,1.56,22,35,57,1.83
2019-01-11,2.57,2.02,33.51,22.22,4,1.6,39,71,77,2.09
2019-01-11,2.18,2.15,12.69,26.98,11,0.93,15,51,32,1.95
2019-01-11,1.83,2.14,30.83,14.47,8,0.71,24,40,33,0.61
2019-01-11,2.05,0.31,26.21,5.11,9,1.21,22,61,44,1.96
2019-01-11,1.37,1.62,15.03,33.34,5,0.69,59,85,27,1.39
2019-01-11,0.66,1.52,0.07,27.55,4,0.88,46,38,59,0.13
2019-01-11,3.1,1.14,31.18,16.47,11,0.84,48,71,77,0.16
2019-01-11,1.19,1.01,6.04,28.62,7,2.46,33,35,41,1.57
2019-01-11,1.07,1.22,22.44,34.38,10,2.25,57,69,51,0.84
2019-01-11,1.28,0.76,11.66,16.08,10,1.14,47,40,49,1.2
2019-01-11,3.4,1.74,1.08,14.97,8,1.79,19,88,22,0.72
2019-01-11,3.31,2.15,34.86,21.76,13,1.53,39,35,52,0.18
2019-01-11,2.33,0.67,14.87,33.39,10,1.63,29,68,54,0.76
2019-01-11,1.6,0.71,29.4,27.8,3,1.0,50,55,67,0.6
2019-01-11,2.69,1.12,20.51,27.81,8,2.03,37,69,71,0.47
2019-01-11,3.31,0.58,20.8,32.8,7,0.88,28,36,56,1.3
2019-01-11,0.77,1.34,8.25,18.06,10,2.48,41,55,47,1.26
2019-01-11,1.7,1.42,8.65,20.92,10,0.65,40,87,78,1.33
2019-01-11,1.89,1.83,17.12,5.63,7,2.41,40,75,22,0.75
2019-01-12,2.68,1.53,27.3,15.43,14,0.77,15,60,47,1.95
2019-01-12,2.53,1.66,24.9,26.07,2,2.35,16,32,77,1.26
2019-01-12,3.06,1.32,35.45,30.37,10,0.89,54,75,33,1.32
2019-01-12,2.48,1.37,21.96,33.44,13,1.58,15,48,62,1.83
2019-01-12,2.27,2.29,33.63,25.62,3,1.8,26,43,42,2.06
2019-01-12,1.58,1.68,8.2,12.58,13,2.35,35,44,30,1.01
2019-01-12,1.4,0.62,19.72,19.23,12,2.07,59,87,47,1.98
2019-01-12,2.89,1.57,22.29,14.53,3,1.46,32,80,49,0.13
2019-01-12,1.43,0.84,6.4,12.56,3,0.55,52,79,29,1.08
2019-01-12,2.03,2.11,34.58,33.93,6,0.68,44,89,68,1.79
2019-01-12,1.98,1.83,18.83,31.24,4,0.81,15,44,74,1.41
2019-01-12,0.99,2.02,25.43,29.25,13,1.86,59,63,33,1.33
2019-01-12,0.56,2.22,1.54,6.22,11,1.81,58,37,23,1.82
2019-01-12,2.1,1.27,27.54,5.38,11,2.37,56,33,40,1.9
2019-01-12,2.65,2.29,20.93,28.54,13,0.64,34,84,62,1.24
2019-01-12,1.74,1.66,17.09,23.41,4,1.72,24,35,35,0.34
2019-01-12,1.84,0.52,9.23,27.26,7,1.63,31,73,75,1.81
2019-01-12,0.7,0.5,22.66,32.6,10,1.17,39,87,79,0.28
2019-01-12,2.1,2.18,7.04,21.92,13,1.76,26,65,61,1.86
2019-01-12,3.36,1.58,27.41,14.16,4,1.43,31,30,65,0.11
2019-01-12,1.37,0.67,11.78,10.87,2,1.74,45,53,69,0.53
2019-01-12,1.36,2.07,30.36,27.89,9,2.45,57,77,66,0.67
2019-01-12,1.48,2.04,28.59,25.07,5,1.91,30,61,25,0.26
2019-01-12,2.76,0.73,3.58,6.68,6,1.07,43,42,41,0.87
2019-01-12,3.3,1.47,24.66,22.0,12,0.84,53,80,31,1.7
2019-01-12,1.92,0.94,28.04,5.75,4,0.85,53,69,52,0.75
2019-01-12,1.51,0.96,12.0,16.15,9,0.72,54,54,28,1.5
2019-01-12,2.55,1.09,31.19,15.89,10,0.78,55,38,47,1.62
2019-01-13,3.0,1.79,1.05,13.63,12,1.27,27,44,66,1.92
2019-01-13,1.99,0.74,36.29,24.57,6,2.47,51,67,27,1.36
2019-01-13,1.93,1.05,39.69,29.17,11,1.61,56,71,49,1.34
2019-01-13,2.92,0.45,3.07,9.01,11,0.98,59,46,42,1.11
2019-01-13,2.92,1.79,1.84,23.13,8,0.79,59,61,68,1.88
2019-01-13,0.84,1.99,22.13,5.53,3,2.12,43,64,73,0.22
2019-01-13,0.72,0.72,2.28,10.57,2,0.85,26,47,32,1.65
2019-01-13,1.67,2.1,21.0,17.33,6,1.08,15,79,21,1.15
2019-01-13,2.83,0.93,28.77,18.03,4,0.67,40,85,56,0.41
2019-01-13,1.51,1.81,36.9,10.47,5,1.88,27,60,25,1.12
2019-01-13,1.7,0.51,31.35,16.6,8,2.22,43,68,67,1.63
